UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,temperature_gap,power_proxy,wear_per_torque
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,10.5,66382.79999999999,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,10.5,65190.399999999994,0.06479481641468683
3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,10.399999999999977,74001.2,0.10121457489878542
4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,10.400000000000034,56603.5,0.17721518987341772
5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,10.5,56320.0,0.225
6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,10.5,59707.5,0.26252983293556087
7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,10.5,66059.2,0.33018867924528306
8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,10.5,61385.4,0.3980099502487562
9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,10.399999999999977,47676.200000000004,0.6293706293706294
10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,10.5,48748.0,0.75
11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,10.5,42589.799999999996,1.00418410041841
12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,10.5,63038.899999999994,0.654627539503386
13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,10.5,68422.90000000001,0.6653620352250489
14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,10.599999999999966,52260.0,1.2333333333333334
15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,10.599999999999966,39886.0,2.0408163265306123
16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,10.599999999999966,74632.8,0.8677685950413223
17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,10.599999999999966,61092.6,0.944206008583691
18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,10.5,64296.0,1.030701754385965
19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,10.399999999999977,71177.0,0.9174311926605505
20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,10.400000000000034,53040.0,1.6923076923076923
21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,10.400000000000034,58712.50000000001,1.3583138173302107
22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,10.5,64959.99999999999,1.40625
23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,10.400000000000034,48536.7,2.1172638436482085
24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,10.399999999999977,45180.6,2.6459143968871595
25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,10.399999999999977,58225.299999999996,1.8766756032171583
26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,10.5,43361.3,3.133047210300429
27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,10.399999999999977,58968.0,1.9230769230769231
28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,10.299999999999955,44550.600000000006,3.130081300813008
29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,10.299999999999955,63603.8,1.855203619909502
30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,10.399999999999977,50959.3,2.7906976744186047
31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,10.399999999999977,64539.8,1.784232365145228
32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,10.399999999999977,45849.0,3.4901960784313726
33,L47212,L,299.0,309.4,1419,48.3,91,0,No Failure,10.399999999999977,68537.7,1.884057971014493
34,L47213,L,298.9,309.3,1665,32.5,93,0,No Failure,10.400000000000034,54112.5,2.8615384615384616
35,M14894,M,298.8,309.1,1559,34.7,95,0,No Failure,10.300000000000011,54097.3,2.737752161383285
36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure,10.399999999999977,70567.2,2.016460905349794
37,M14896,M,298.9,309.2,1581,36.7,101,0,No Failure,10.300000000000011,58022.700000000004,2.7520435967302452
38,L47217,L,298.8,309.1,1439,39.2,104,0,No Failure,10.300000000000011,56408.8,2.6530612244897958
39,H29452,H,298.9,309.2,1379,50.7,106,0,No Failure,10.300000000000011,69915.3,2.0907297830374754
40,L47219,L,298.8,309.1,1350,52.5,111,0,No Failure,10.300000000000011,70875.0,2.1142857142857143
41,L47220,L,298.8,309.1,1362,45.4,113,0,No Failure,10.300000000000011,61834.799999999996,2.488986784140969
42,L47221,L,298.8,309.1,1368,50.8,115,0,No Failure,10.300000000000011,69494.4,2.263779527559055
43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure,10.300000000000011,67168.8,2.3828920570264764
44,H29457,H,298.8,309.2,1372,48.5,120,0,No Failure,10.399999999999977,66542.0,2.4742268041237114
45,M14904,M,298.8,309.1,1472,47.5,125,0,No Failure,10.300000000000011,69920.0,2.6315789473684212
46,L47225,L,298.8,309.1,1489,49.1,128,0,No Failure,10.300000000000011,73109.90000000001,2.6069246435845215
