experiment_id,stage,model_name,feature_set,missing_strategy,outlier_strategy,sampling_strategy,hyperparameter_config,threshold_rule,fold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,fit_seconds
exp001,baseline,LogisticRegression,base,median_mode,none,none,baseline,0.5,1,0.817,0.8116762282740462,0.13267813267813267,0.8059701492537313,0.22784810126582278,0.8965879346155925,0.44530628724031884,1580,353,13,54,0.024715699997614138
exp001,baseline,LogisticRegression,base,median_mode,none,none,baseline,0.5,2,0.821,0.8080319084155401,0.135678391959799,0.7941176470588235,0.2317596566523605,0.8922025331871879,0.33921086150854746,1588,344,14,54,0.02159959998971317
exp001,baseline,LogisticRegression,base,median_mode,none,none,baseline,0.5,3,0.8105,0.8167854098161003,0.13238770685579196,0.8235294117647058,0.22810590631364563,0.9104174278407015,0.42197751591910315,1565,367,12,56,0.022744000001694076
exp001,baseline,LogisticRegression,base,median_mode,none,none,baseline,0.5,4,0.815,0.8191146023626842,0.13526570048309178,0.8235294117647058,0.23236514522821577,0.9116276945560834,0.4672179895646976,1574,358,12,56,0.021970100002363324
exp001,baseline,LogisticRegression,base,median_mode,none,none,baseline,0.5,5,0.833,0.8071489465351358,0.1424731182795699,0.7794117647058824,0.2409090909090909,0.8908857021069297,0.4813752354549822,1613,319,15,53,0.022252499999012798
exp002,baseline,RandomForest,base,median_mode,none,class_weight,baseline,0.5,1,0.9665,0.9034251916825597,0.5,0.835820895522388,0.6256983240223464,0.9724733806394824,0.6578390306009118,1877,56,11,56,0.5607587999984389
exp002,baseline,RandomForest,base,median_mode,none,class_weight,baseline,0.5,2,0.964,0.8749543295579101,0.4818181818181818,0.7794117647058824,0.5955056179775281,0.96656162464986,0.6854274769058757,1875,57,15,53,0.5510952000040561
exp002,baseline,RandomForest,base,median_mode,none,class_weight,baseline,0.5,3,0.9675,0.8767659237608088,0.5145631067961165,0.7794117647058824,0.6198830409356725,0.9670335525514554,0.6297851369795608,1882,50,15,53,0.5718384000065271
exp002,baseline,RandomForest,base,median_mode,none,class_weight,baseline,0.5,4,0.9695,0.913271830471319,0.5321100917431193,0.8529411764705882,0.655367231638418,0.9661658141517478,0.6787959919187644,1881,51,10,58,0.5607174999895506
exp002,baseline,RandomForest,base,median_mode,none,class_weight,baseline,0.5,5,0.963,0.8247777371818292,0.46938775510204084,0.6764705882352942,0.5542168674698795,0.9610507246376812,0.5844563558819714,1880,52,22,46,0.5597200000047451
exp003,baseline,ExtraTrees,base,median_mode,none,class_weight,baseline,0.5,1,0.894,0.887530788890519,0.22433460076045628,0.8805970149253731,0.3575757575757576,0.9453328288716789,0.5670740400967513,1729,204,8,59,0.3865739999891957
